1,415004880.00 ,Toy Story 3,Lee Unkrich,Tom Hanks (Voice),Michael Keaton (Voice),Joan Cusack (Voice),3D,Animation,Animation - Computer,$200 million
2,334191110.00 ,Alice in Wonderland (2010),Tim Burton,Mia Wasikowska,Johnny Depp,Helena Bonham Carter,3D,Family - Children's Book Adaptation,Fantasy - Live Action,$200 million
3,312433331.00 ,Iron Man 2,Jon Favreau,Robert Downey Jr.,Don Cheadle,Scarlett Johansson,Comic Book Adaptation,IMAX (Feature-length),Superhero,$200 million
4,300531751.00 ,The Twilight Saga: Eclipse,David Slade,Kristen Stewart,Robert Pattinson,Taylor Lautner,IMAX (Feature-length),Off-Screen Couples On-Screen,Romantic Fantasy,$68 million
5,295983305.00 ,Harry Potter and the Deathly Hallows Part 1,David Yates,Warwick Davis,Clemence Poesy,Daniel Radcliffe,Family - Children's Book Adaptation,Fantasy - Live Action,IMAX (Feature-length),N/A
6,292576195.00 ,Inception,Christopher Nolan,Leonardo DiCaprio,Ken Watanabe,Joseph Gordon-Levitt,Crime Time,Heist / Caper,IMAX (Feature-length),$160 million
7,251513985.00 ,Despicable Me,Pierre Coffin,Steve Carell (Voice),Jason Segel (Voice),Russell Brand (Voice),3D,Animation,Animation - Computer,$69 million
8,238736787.00 ,Shrek Forever After,Mike Mitchell,Mike Myers (Voice),Eddie Murphy (Voice),Cameron Diaz (Voice),3D,Animation,Animation - Computer,$165 million
9,217581231.00 ,How to Train Your Dragon,Dean DeBlois,Jay Baruchel (Voice),Gerard Butler (Voice),America Ferrera (Voice),3D,Animation,Animation - Computer,$165 million
10,200821936.00 ,Tangled,Nathan Greno,Mandy Moore (Voice),Zachary Levi (Voice),Donna Murphy (Voice),3D,Animation,Animation - Computer,$260 million
11,176591618.00 ,The Karate Kid,Harald Zwart,Jaden Smith,Jackie Chan,Taraji P. Henson,Action - Martial Arts,Action Remake,Family - Remake,$40 million
12,172062763.00 ,Tron Legacy,Joseph Kosinski,Jeff Bridges,Garrett Hedlund,Olivia Wilde,Sci-Fi - Adventure,Sci-Fi Chase,3D,$170 million
13,171243005.00 ,True Grit,Ethan Coen,Jeff Bridges,Hailee Steinfeld,Matt Damon,Western,N/A,N/A,$38 million
14,163214888.00 ,Clash of the Titans (2010),Louis Leterrier,Sam Worthington,Liam Neeson,Ralph Fiennes,3D,Adventure Remake,Fantasy - Live Action,$125 million
15,162001186.00 ,Grown Ups,Dennis Dugan,Adam Sandler,Kevin James,Chris Rock,Comedy - Arrested Development,N/A,N/A,$80 million
16,148438600.00 ,Little Fockers,Paul Weitz,Ben Stiller,Robert DeNiro,Dustin Hoffman,N/A,N/A,N/A,$100 million
17,148415853.00 ,Megamind,Tom McGrath,Will Ferrell (Voice),Brad Pitt (Voice),Tina Fey (Voice),3D,Animation,Animation - Computer,$130 million
18,135453143.00 ,The King's Speech,Tom Hooper,Colin Firth,Geoffrey Rush,Helena Bonham Carter,N/A,N/A,N/A,$15 million
19,131772187.00 ,The Last Airbender,M. Night Shyamalan,Noah Ringer,Dev Patel,Jackson Rathbone,3D,Action - Martial Arts,Fantasy - Live Action,$150 million
20,128012934.00 ,Shutter Island,Martin Scorsese,Leonardo DiCaprio,Mark Ruffalo,Ben Kingsley,Horror - Period,Mindbender,N/A,$80 million
21,119219978.00 ,The Other Guys,Adam McKay,Will Ferrell,Mark Wahlberg,Dwayne Johnson,Action - Buddy Comedy,N/A,N/A,$100 million
22,118311368.00 ,Salt,Phillip Noyce,Angelina Jolie,Liev Schreiber,Chiwetel Ejiofor,Action Heroine,Spy,Thriller - On the Run,$110 million
23,117229692.00 ,Jackass 3-D,Jeff Tremaine,Johnny Knoxville,N/A,N/A,3D,Comedy - R-Rated Youth,Reality TV,$20 million
24,110485654.00 ,Valentine's Day,Garry Marshall,Jessica Alba,Kathy Bates,Jessica Biel,Romantic Comedy,N/A,N/A,$52 million
25,106954678.00 ,Black Swan,Darren Aronofsky,Natalie Portman,Mila Kunis,Vincent Cassel,Dance,N/A,N/A,$13 million
26,105269730.00 ,Robin Hood,Ridley Scott,Russell Crowe,Cate Blanchett,Max von Sydow,Adventure - Period,Medieval Times,N/A,$200 million
27,104386950.00 ,The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,Ben Barnes,Tilda Swinton*,Liam Neeson* (Voice),3D,Christian,Family - Children's Book Adaptation,$155 million
28,103068524.00 ,The Expendables,Sylvester Stallone,Sylvester Stallone,Jason Statham,Jet Li,N/A,N/A,N/A,$80 million
29,100539043.00 ,Due Date,Todd Phillips,Keegan-Michael Key (Voice),Robert Downey Jr.,Zach Galifianakis,Comedy - Road Trip,N/A,N/A,$65 million
30,100246011.00 ,Yogi Bear,N/A,Anna Faris,Dan Aykroyd (Voice),Justin Timberlake (Voice),3D,CGI Star,Family - Talking Animal (Live action),$80 million
