1,749766139.00 ,Avatar,James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver,Sci-Fi - Adventure,3D,CGI Star,N/A
2,402111870.00 ,Transformers: Revenge of the Fallen,Michael Bay,Shia LaBeouf,Megan Fox,Josh Duhamel,Sci-Fi - Alien Invasion,CGI Star,Cyborg / Android / Robot,$200 million
3,301959197.00 ,Harry Potter and the Half-Blood Prince,David Yates,Daniel Radcliffe,Rupert Grint,Emma Watson,Family - Children's Book Adaptation,Fantasy - Live Action,IMAX (Feature-length),$250 million
4,296623634.00 ,The Twilight Saga: New Moon,Chris Weitz,Kristen Stewart,Robert Pattinson,Taylor Lautner,Off-Screen Couples On-Screen,Romantic Fantasy,Teen Romance,$50 million
5,293004164.00 ,Up,Pete Docter,Edward Asner* (Voice),Christopher Plummer* (Voice),John Ratzenberger* (Voice),3D,Animation,Animation - Computer,$175 million
6,277322503.00 ,The Hangover,Todd Phillips,Bradley Cooper,Ed Helms,Zach Galifianakis,Comedy - R-Rated Youth,Travelogue - Las Vegas,N/A,$35 million
7,257730019.00 ,Star Trek,J.J. Abrams,Chris Pine,Zachary Quinto,Leonard Nimoy,Sci-Fi - Adventure,IMAX (Feature-length),Prequel,$150 million
8,255959475.00 ,The Blind Side,John Lee Hancock,Sandra Bullock,Kathy Bates,Lily Collins,Sports - Football,Sports Drama,N/A,$29 million
9,219614612.00 ,Alvin and the Chipmunks: The Squeakquel,Betty Thomas,Christina Applegate (Voice),David Cross,Anna Faris (Voice),CGI Star,Family - Talking Animal (Live action),TV Cartoon (Live Action),$75 million
10,209028679.00 ,Sherlock Holmes,Guy Ritchie,Robert Downey Jr.,Jude Law,Rachel McAdams,Adventure - Period,N/A,N/A,$90 million
11,198351526.00 ,Monsters Vs. Aliens,Rob Letterman,Reese Witherspoon (Voice),Seth Rogen (Voice),Hugh Laurie (Voice),Sci-Fi - Alien Invasion,3D,Animation,$175 million
12,196573705.00 ,Ice Age: Dawn of the Dinosaurs,Carlos Saldanha,Ray Romano (Voice),John Leguizamo (Voice),Denis Leary (Voice),3D,Animation,Animation - Computer,$90 million
13,179883157.00 ,X-Men Origins: Wolverine,Gavin Hood,Hugh Jackman,Liev Schreiber,Danny Huston,Comic Book Adaptation,Prequel,Superhero,$150 million
14,177243721.00 ,Night at the Museum: Battle of the Smithsonian,Shawn Levy,Nick Jonas* (Voice),Ben Stiller,Amy Adams,Comedy - Sequel (Live Action),IMAX (Feature-length),N/A,$150 million
15,166112167.00 ,2012,Roland Emmerich,Chiwetel Ejiofor,John Cusack,Woody Harrelson,Disaster,Future - Near,N/A,$200 million
16,163958031.00 ,The Proposal,Anne Fletcher,Sandra Bullock,Ryan Reynolds,Mary Steenburgen,Romantic Comedy,N/A,N/A,$40 million
17,155064265.00 ,Fast and Furious,Justin Lin,Gal Gadot,Vin Diesel,Paul Walker,Car Racing,N/A,N/A,$85 million
18,150201498.00 ,G.I. Joe: The Rise of Cobra,Stephen Sommers,Channing Tatum,Marlon Wayans,Rachel Nichols,Toy Adaptation,N/A,N/A,$175 million
19,146336178.00 ,Paul Blart: Mall Cop,Steve Carr,Kevin James,N/A,N/A,Comedy - Bumbling,N/A,N/A,$26 million
20,145000989.00 ,Taken,Pierre Morel,Liam Neeson,Maggie Grace,Famke Janssen,Drama - Kidnapping,Revenge,Travelogue - Paris,$25 million
21,137855863.00 ,A Christmas Carol (2009),Robert Zemeckis,Jim Carrey,Cary Elwes,Colin Firth,3D,Animation,Animation - Computer,$200 million
22,133375846.00 ,Angels & Demons,Ron Howard,Tom Hanks,Ewan McGregor,Stellan Skarsgard,Controversy,N/A,N/A,$150 million
23,125322469.00 ,Terminator Salvation,McG,Christian Bale,Sam Worthington,Common,Cyborg / Android / Robot,Future - Near,Man vs. Machine,$200 million
24,124870275.00 ,Cloudy with a Chance of Meatballs,Phil Lord,Bill Hader (Voice),Anna Faris (Voice),James Caan (Voice),3D,Animation,Animation - Computer,$100 million
25,120540719.00 ,Inglourious Basterds,Quentin Tarantino,Brad Pitt,Mike Myers,Diane Kruger,Drama - Summer,Revenge,War - World War 2,$70 million
26,119436770.00 ,G-Force,N/A,Bill Nighy,Sam Rockwell* (Voice),Will Arnett,3D,CGI Star,Family - Talking Animal (Live action),$150 million
27,115646235.00 ,District 9,Neill Blomkamp,Sharlto Copley,N/A,N/A,Sci-Fi - Alien Invasion,Sci-Fi Chase,N/A,$30 million
28,112735375.00 ,It's Complicated,Nancy Meyers,Meryl Streep,Steve Martin,Alec Baldwin,Romantic Comedy,N/A,N/A,$85 million
29,109204945.00 ,Couples Retreat,N/A,Vince Vaughn,Jason Bateman,Jon Favreau,N/A,N/A,N/A,$70 million
30,107918810.00 ,Paranormal Activity,Oren Peli,N/A,N/A,N/A,Found Footage,Horror - Supernatural,N/A,"$15,000 "
