1,424668047.00 ,The Hunger Games: Catching Fire,Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Sci-Fi - Based on Book,Action Heroine,IMAX (Feature-length),$130 million
2,409013994.00 ,Iron Man 3,Shane Black,Fan Bingbing,Robert Downey Jr.,Gwyneth Paltrow,3D,Christmas - Setting Only,Comic Book Adaptation,$200 million
3,400738009.00 ,Frozen,Chris Buck,Kristen Bell (Voice),Jonathan Groff (Voice),Josh Gad (Voice),3D,Animation,Animation - Computer,$150 million
4,368061265.00 ,Despicable Me 2,Pierre Coffin,Steve Carell (Voice),Kristen Wiig (Voice),Benjamin Bratt (Voice),3D,Animation,Animation - Computer,$76 million
5,291045518.00 ,Man of Steel,Zack Snyder,Henry Cavill,Amy Adams,Michael Shannon,Sci-Fi - Alien Invasion,3D,Comic Book Adaptation,$225 million
6,274092705.00 ,Gravity,Alfonso Cuaron,George Clooney,Sandra Bullock,N/A,3D,Disaster,IMAX (Feature-length),$100 million
7,268492764.00 ,Monsters University,Dan Scanlon,Billy Crystal (Voice),John Goodman (Voice),Steve Buscemi (Voice),3D,Animation,Animation - Computer,N/A
8,258366855.00 ,The Hobbit: The Desolation of Smaug,Peter Jackson,Martin Freeman,Ian McKellen,Richard Armitage,3D,Dragon - Focal Point of Movie,Fantasy - Live Action,N/A
9,238679850.00 ,Fast & Furious 6,Justin Lin,Gal Gadot,Vin Diesel,Paul Walker,Car Racing,N/A,N/A,$160 million
10,234911825.00 ,Oz The Great and Powerful,Sam Raimi,Tony Cox,James Franco,Mila Kunis,3D,Fantasy - Live Action,IMAX (Feature-length),$215 million
11,228778661.00 ,Star Trek Into Darkness,J.J. Abrams,Leonard Nimoy*,Chris Pine,Zachary Quinto,Sci-Fi - Adventure,3D,IMAX (Feature-length),$190 million
12,206362140.00 ,Thor: The Dark World,Alan Taylor,Chris Hemsworth,Natalie Portman,Tom Hiddleston,3D,Comic Book Adaptation,Fantasy - Live Action,$170 million
13,202359711.00 ,World War Z,Marc Forster,Brad Pitt,Mireille Enos,David Morse,3D,Disaster,IMAX (Feature-length),$190 million
14,187168425.00 ,The Croods,Kirk De Micco,Nicolas Cage (Voice),Emma Stone (Voice),Ryan Reynolds (Voice),3D,Animation,Animation - Computer,$135 million
15,159582188.00 ,The Heat,Paul Feig,Sandra Bullock,Melissa McCarthy,N/A,Action - Buddy Comedy,Travelogue - Boston,N/A,$43 million
16,150394119.00 ,We're the Millers,Rawson Marshall Thurber,Jason Sudeikis,Jennifer Aniston,Ed Helms,Comedy - Road Trip,Slacker / Stoner,Travelogue - Mexico,$37 million
17,150117807.00 ,American Hustle,David O. Russell,Christian Bale,Bradley Cooper,Amy Adams,Con Artist / Hustler,That '70s Movie,N/A,$40 million
18,144840419.00 ,The Great Gatsby (2013),Baz Luhrmann,Elizabeth Debicki,Leonardo DiCaprio,Tobey Maguire,3D,Drama - Summer,Romantic Drama,$105 million
19,137400141.00 ,The Conjuring,James Wan,Vera Farmiga,Patrick Wilson,Lili Taylor,Horror - Period,Horror - Supernatural,N/A,$20 million
20,134506920.00 ,Identity Thief,Seth Gordon,Jason Bateman,Melissa McCarthy,Jon Favreau,Comedy - Road Trip,Con Artist / Hustler,N/A,$35 million
21,133668525.00 ,Grown Ups 2,Dennis Dugan,Adam Sandler,Kevin James,Chris Rock,Comedy - Sequel (Live Action),N/A,N/A,$80 million
22,132556852.00 ,The Wolverine,James Mangold,Hugh Jackman,Famke Janssen*,N/A,3D,Comic Book Adaptation,Superhero,$120 million
23,125168368.00 ,Anchorman 2: The Legend Continues,Adam McKay,Will Ferrell,Paul Rudd,Steve Carell,Comedy - Sequel (Live Action),News/Broadcasting,N/A,$50 million
24,125095601.00 ,Lone Survivor,Peter Berg,Mark Wahlberg,Taylor Kitsch,Eric Bana,Travelogue - Middle East,N/A,N/A,$40 million
25,122523060.00 ,G.I. Joe: Retaliation,Jon Chu,Dwayne Johnson,Channing Tatum,Bruce Willis,3D,IMAX (Feature-length),Toy Adaptation,$130 million
26,119793567.00 ,Cloudy with a Chance of Meatballs 2,N/A,Bill Hader (Voice),Anna Faris (Voice),James Caan* (Voice),3D,Animation,Animation - Computer,$78 million
27,117723989.00 ,Now You See Me,Louis Leterrier,Jesse Eisenberg,Isla Fisher,Morgan Freeman,Heist / Caper,N/A,N/A,$75 million
28,116900694.00 ,The Wolf of Wall Street,Martin Scorsese,Leonardo DiCaprio,Jonah Hill,Matthew McConaughey,Controversy,Crime Time,True Crime,$100 million
29,116632095.00 ,Lee Daniels' The Butler,Lee Daniels,Forest Whitaker,Oprah Winfrey,John Cusack,Drama - Summer,President,N/A,$30 million
30,112200072.00 ,The Hangover Part III,Todd Phillips,Bradley Cooper,Ed Helms,Zach Galifianakis,Travelogue - Las Vegas,N/A,N/A,$103 million
