1,398540916.00 ,Captain America: Civil War,Anthony Russo,Chris Evans,Robert Downey Jr.,Scarlett Johansson,3D,Comic Book Adaptation,IMAX (Feature-length),$250 million
2,363063801.00 ,Deadpool,Tim Miller,Ryan Reynolds,Morena Baccarin,Gina Carano,Comic Book Adaptation,IMAX (Feature-length),Revenge,$58 million
3,354060635.00 ,The Jungle Book (2016),Jon Favreau,Scarlett Johansson (Voice),Idris Elba (Voice),Lupita Nyong'o (Voice),3D,Adventure - Period,Adventure Remake,$175 million
4,338464335.00 ,Zootopia,Byron Howard,Ginnifer Goodwin (Voice),Jason Bateman (Voice),Idris Elba (Voice),3D,Animation,Animation - Computer,N/A
5,330331029.00 ,Batman v Superman: Dawn of Justice,Zack Snyder,Ray Fisher,Henry Cavill,Ben Affleck,3D,Comic Book Adaptation,IMAX (Feature-length),$250 million
6,143373049.00 ,Kung Fu Panda 3,Alessandro Carloni,Jack Black (Voice),Jackie Chan (Voice),Bryan Cranston (Voice),3D,Animation,Animation - Computer,N/A
7,139963832.00 ,X-Men: Apocalypse,Bryan Singer,James McAvoy,Michael Fassbender,Jennifer Lawrence,3D,Comic Book Adaptation,Superhero,$178 million
8,100769276.00 ,The Angry Birds Movie,Clay Kaytis,Jason Sudeikis (Voice),Josh Gad (Voice),Danny McBride (Voice),3D,Animation,Animation - Computer,$73 million
9,90862685.00 ,Ride Along 2,Tim Story,Kevin Hart,Ice Cube,Benjamin Bratt,Action - Buddy Comedy,Comedy - Sequel (Live Action),N/A,$40 million
10,72082998.00 ,10 Cloverfield Lane,Dan Trachtenberg,Mary Elizabeth Winstead,John Goodman,John Gallagher Jr.,IMAX (Feature-length),N/A,N/A,N/A
11,66184051.00 ,The Divergent Series: Allegiant,Robert Schwentke,Jeff Daniels,Ansel Elgort,Theo James,Sci-Fi - Based on Book,Action Heroine,Future - Near,N/A
12,65562044.00 ,Teenage Mutant Ninja Turtles: Out of the Shadows,N/A,N/A,N/A,N/A,CGI Star,Comic Book Adaptation,Superhero,$135 million
13,65037957.00 ,Alice Through the Looking Glass,James Bobin,Johnny Depp,Anne Hathaway,Mia Wasikowska,3D,Fantasy - Live Action,IMAX (Feature-length),$170 million
14,63067345.00 ,The Boss,Ben Falcone,Melissa McCarthy,Kristen Bell,Peter Dinklage,N/A,N/A,N/A,$29 million
15,62524260.00 ,London Has Fallen,N/A,Angela Bassett,Gerard Butler,Aaron Eckhart,N/A,N/A,N/A,$60 million
16,61391820.00 ,Miracles from Heaven,Patricia Riggen,Eugenio Derbez,Jennifer Garner,Martin Henderson,Christian,N/A,N/A,$13 million
17,59689605.00 ,My Big Fat Greek Wedding 2,Kirk Jones,John Corbett,John Stamos,Nia Vardalos,Comedy - Sequel (Live Action),N/A,N/A,N/A
18,54036060.00 ,Neighbors 2: Sorority Rising,Nick Stoller,Zac Efron,Rose Byrne,Seth Rogen,Comedy - College,Comedy - Sequel (Live Action),N/A,N/A
19,53706351.00 ,Barbershop: The Next Cut,Malcolm D. Lee,Ice Cube,Cedric the Entertainer,Regina Hall,N/A,N/A,N/A,N/A
20,53173624.00 ,The Conjuring 2,James Wan,Vera Farmiga,Frances O'Connor,Patrick Wilson,Horror - Supernatural,N/A,N/A,$40 million
21,52853219.00 ,13 Hours: The Secret Soldiers of Benghazi,Michael Bay,James Badge Dale,John Krasinski,Max Martini,N/A,N/A,N/A,$50 million
22,47990790.00 ,The Huntsman: Winter's War,Cedric Nicolas-Troyan,Chris Hemsworth,Charlize Theron,Jessica Chastain,Fantasy - Live Action,Prequel,N/A,$115 million
23,46843513.00 ,How to Be Single,N/A,Alison Brie,Dakota Johnson,Leslie Mann,Romantic Comedy,N/A,N/A,$38 million
24,41023828.00 ,Me Before You,N/A,Emilia Clarke,Sam Claflin,N/A,Romantic Drama,N/A,N/A,$20 million
25,40025175.00 ,Money Monster,Jodie Foster,Caitriona Balfe,George Clooney,Giancarlo Esposito,N/A,N/A,N/A,$27 million
26,36880033.00 ,Risen,Kevin Reynolds,Joseph Fiennes,Tom Felton,Peter Firth,Christian,N/A,N/A,$20 million
27,35819556.00 ,The Boy (2016),William Brent Bell,N/A,N/A,N/A,Horror - Supernatural,N/A,N/A,$10 million
28,35593113.00 ,Dirty Grandpa,N/A,Robert DeNiro,Zac Efron,N/A,N/A,N/A,N/A,N/A
29,34912982.00 ,The 5th Wave,N/A,Tony Revolori,Nick Robinson,Chloe Moretz,Sci-Fi - Alien Invasion,Sci-Fi - Based on Book,Young-Adult Book Adaptations,$38 million
30,33213347.00 ,The Nice Guys,Shane Black,Ryan Gosling,Russell Crowe,Matt Bomer,Action - Buddy Comedy,That '70s Movie,N/A,N/A
