1,936662225.00 ,Star Wars: The Force Awakens,J.J. Abrams,Warwick Davis,Lupita Nyong'o,John Boyega,Sci-Fi - Adventure,3D,IMAX (Feature-length),$245 million
2,652270625.00 ,Jurassic World,Colin Trevorrow,Nick Robinson,Chris Pratt,Bryce Dallas Howard,Sci-Fi - Adventure,3D,Creature Feature,$150 million
3,459005868.00 ,Avengers: Age of Ultron,Joss Whedon,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,3D,Comic Book Adaptation,Cyborg / Android / Robot,$250 million
4,356461711.00 ,Inside Out,Pete Docter,Amy Poehler (Voice),Bill Hader (Voice),Mindy Kaling (Voice),3D,Animation,Animation - Computer,$175 million
5,353007020.00 ,Furious 7,James Wan,Tony Jaa,Vin Diesel,Paul Walker,Car Racing,IMAX (Feature-length),N/A,$190 million
6,336045770.00 ,Minions,Pierre Coffin,Sandra Bullock (Voice),Jon Hamm (Voice),Michael Keaton (Voice),3D,Animation,Animation - Computer,$74 million
7,281723902.00 ,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Sci-Fi - Based on Book,Action Heroine,IMAX (Feature-length),$160 million
8,228433663.00 ,The Martian,Ridley Scott,Sean Bean,Jessica Chastain,Matt Damon,Sci-Fi - Adventure,Sci-Fi - Based on Book,3D,$108 million
9,201151353.00 ,Cinderella (2015),Kenneth Branagh,Lily James,Richard Madden,Cate Blanchett,Cinderella Complex,Fantasy - Live Action,IMAX (Feature-length),$95 million
10,200074609.00 ,Spectre,Sam Mendes,Daniel Craig,Christoph Waltz,Ralph Fiennes,IMAX (Feature-length),Spy,N/A,$245 million
11,195042377.00 ,Mission: Impossible - Rogue Nation,Christopher McQuarrie,Rebecca Ferguson,Rebecca Ferguson,Tom Cruise,IMAX (Feature-length),Spy,TV Adaptation (Live Action),$150 million
12,184296230.00 ,Pitch Perfect 2,Elizabeth Banks,Keegan-Michael Key,Anna Kendrick,Skylar Astin,Comedy - College,Comedy - Music,Comedy - Sequel (Live Action),$29 million
13,183637894.00 ,The Revenant,Alejandro González Iñárritu,Leonardo DiCaprio,Tom Hardy,Domhnall Gleeson,Adventure - Period,Revenge,Western,$135 million
14,180202163.00 ,Ant-Man,Peyton Reed,Chris Evans*,Judy Greer,Anthony Mackie*,3D,Comic Book Adaptation,Heist / Caper,$130 million
15,177397510.00 ,Home (2015),Tim Johnson,Jim Parsons (Voice),Rihanna (Voice),Steve Martin (Voice),Sci-Fi - Alien Invasion,3D,Animation,$135 million
16,169700110.00 ,Hotel Transylvania 2,Genndy Tartakovsky,Mel Brooks (Voice),Steve Buscemi (Voice),Fran Drescher (Voice),3D,Animation,Animation - Computer,$80 million
17,166167230.00 ,Fifty Shades of Grey,Sam Taylor-Johnson,Dakota Johnson,Jamie Dornan,Jennifer Ehle,Romantic Drama,N/A,N/A,$40 million
18,162994032.00 ,The SpongeBob Movie: Sponge Out of Water,Mike Mitchell,Antonio Banderas,N/A,N/A,3D,Animation,Animation - TV Adaptation,$74 million
19,161197785.00 ,Straight Outta Compton,F. Gary Gray,Corey Hawkins,Aldis Hodge,Jason Mitchell,Biopic - Music,Drama - Summer,Rap / Rapper,$28 million
20,155190832.00 ,San Andreas,Brad Peyton,Alexandra Daddario,Paul Giamatti,Ioan Gruffudd,3D,Disaster,N/A,$110 million
21,153636354.00 ,Mad Max: Fury Road,George Miller,Riley Keough,Tom Hardy,Charlize Theron,Sci-Fi - Adventure,3D,Adventure - Desert,$150 million
22,150357137.00 ,Daddy's Home,Sean Anders,Linda Cardellini,Thomas Haden Church,Will Ferrell,N/A,N/A,N/A,N/A
23,130179072.00 ,The Divergent Series: Insurgent,Robert Schwentke,Shailene Woodley,Theo James,Kate Winslet,Sci-Fi - Based on Book,3D,Action Heroine,$110 million
24,130178411.00 ,The Peanuts Movie,N/A,N/A,N/A,N/A,3D,Animation,Animation - Computer,$99 million
25,128261724.00 ,Kingsman: The Secret Service,Matthew Vaughn,Sofia Boutella,Colin Firth,Samuel L. Jackson,Comic Book Adaptation,Spy,N/A,$81 million
26,123087120.00 ,The Good Dinosaur,Peter Sohn,Jack Bright (Voice),Frances McDormand (Voice),Raymond Ochoa (Voice),3D,Animation,Animation - Computer,N/A
27,110825712.00 ,Spy,Paul Feig,Morena Baccarin,Melissa McCarthy,Jason Statham,Comedy - Spy,Spy,N/A,$65 million
28,110212700.00 ,Trainwreck,Judd Apatow,John Cena,Brie Larson,Method Man,Romantic Comedy,N/A,N/A,$35 million
29,109767581.00 ,Creed,Ryan Coogler,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Sports - Boxing,Sports Drama,N/A,$35 million
30,93436322.00 ,Tomorrowland,Brad Bird,Keegan-Michael Key,Britt Robertson,George Clooney,Sci-Fi - Adventure,IMAX (Feature-length),N/A,$190 million
